"","","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Americas"," 2014","1.18 [1.14-1.22]","1.31 [1.25-1.35]","1.04 [0.99-1.08]","17 871 [17 323-18 524]","10 126 [9 728-10 504]","7 745 [7 410-8 076]"
"Americas"," 2013","1.2 [1.17-1.25]","1.34 [1.29-1.38]","1.06 [1.02-1.11]","18 315 [17 775-18 968]","10 379 [10 000-10 751]","7 936 [7 615-8 273]"
"Americas"," 2012","1.24 [1.2-1.28]","1.37 [1.32-1.42]","1.1 [1.05-1.14]","18 820 [18 284-19 462]","10 651 [10 282-11 022]","8 169 [7 853-8 501]"
"Americas"," 2011","1.27 [1.24-1.31]","1.41 [1.36-1.46]","1.13 [1.09-1.17]","19 389 [18 859-20 024]","10 966 [10 605-11 335]","8 423 [8 114-8 762]"
"Americas"," 2010","1.89 [1.74-2.07]","1.95 [1.81-2.12]","1.84 [1.65-2.05]","28 967 [26 662-31 716]","15 212 [14 079-16 564]","13 755 [12 363-15 396]"
"Americas"," 2009","1.35 [1.32-1.4]","1.5 [1.45-1.55]","1.21 [1.17-1.25]","20 760 [20 240-21 388]","11 705 [11 360-12 077]","9 055 [8 752-9 397]"
"Americas"," 2008","1.39 [1.36-1.43]","1.54 [1.5-1.59]","1.23 [1.2-1.28]","21 389 [20 874-22 015]","12 096 [11 762-12 461]","9 293 [8 998-9 635]"
"Americas"," 2007","1.43 [1.4-1.47]","1.59 [1.55-1.64]","1.27 [1.23-1.32]","22 051 [21 539-22 673]","12 474 [12 151-12 844]","9 577 [9 281-9 922]"
"Americas"," 2006","1.47 [1.44-1.51]","1.64 [1.6-1.69]","1.3 [1.26-1.35]","22 685 [22 179-23 300]","12 867 [12 541-13 227]","9 818 [9 524-10 161]"
"Americas"," 2005","1.53 [1.5-1.57]","1.7 [1.66-1.75]","1.36 [1.32-1.4]","23 614 [23 110-24 228]","13 371 [13 049-13 741]","10 243 [9 944-10 580]"
"Americas"," 2004","1.58 [1.55-1.63]","1.76 [1.72-1.81]","1.4 [1.36-1.45]","24 480 [23 914-25 173]","13 878 [13 523-14 290]","10 602 [10 270-10 990]"
"Americas"," 2003","1.59 [1.56-1.63]","1.77 [1.73-1.82]","1.4 [1.36-1.44]","24 655 [24 159-25 265]","14 034 [13 704-14 400]","10 621 [10 330-10 967]"
"Americas"," 2002","1.63 [1.6-1.67]","1.82 [1.78-1.87]","1.43 [1.39-1.48]","25 416 [24 920-26 025]","14 465 [14 141-14 835]","10 951 [10 656-11 294]"
"Americas"," 2001","1.68 [1.65-1.72]","1.88 [1.84-1.93]","1.48 [1.44-1.53]","26 369 [25 865-26 972]","15 000 [14 674-15 364]","11 369 [11 065-11 717]"
"Americas"," 2000","1.73 [1.69-1.76]","1.93 [1.89-1.98]","1.51 [1.47-1.56]","27 115 [26 606-27 719]","15 455 [15 127-15 821]","11 660 [11 350-12 019]"
"Americas"," 1999","1.78 [1.75-1.82]","1.99 [1.95-2.04]","1.56 [1.52-1.61]","27 997 [27 477-28 607]","15 944 [15 610-16 317]","12 053 [11 741-12 411]"
"Americas"," 1998","2.09 [2.05-2.15]","2.31 [2.25-2.37]","1.87 [1.82-1.94]","32 774 [32 021-33 667]","18 395 [17 949-18 920]","14 379 [13 945-14 894]"
"Americas"," 1997","1.91 [1.88-1.95]","2.13 [2.09-2.18]","1.68 [1.64-1.73]","29 716 [29 183-30 355]","16 901 [16 547-17 285]","12 815 [12 498-13 200]"
"Americas"," 1996","1.98 [1.94-2.02]","2.21 [2.17-2.27]","1.74 [1.69-1.79]","30 562 [30 016-31 223]","17 416 [17 060-17 816]","13 146 [12 821-13 529]"
"Americas"," 1995","2.05 [2.02-2.1]","2.3 [2.25-2.36]","1.8 [1.75-1.85]","31 421 [30 857-32 112]","17 927 [17 560-18 346]","13 494 [13 160-13 890]"
"Americas"," 1994","2.13 [2.09-2.18]","2.39 [2.34-2.45]","1.87 [1.82-1.92]","32 315 [31 723-33 028]","18 417 [18 039-18 853]","13 898 [13 551-14 298]"
"Americas"," 1993","2.22 [2.18-2.27]","2.48 [2.43-2.54]","1.95 [1.9-2]","33 294 [32 682-34 032]","18 936 [18 537-19 390]","14 358 [14 004-14 771]"
"Americas"," 1992","2.31 [2.27-2.36]","2.59 [2.53-2.65]","2.03 [1.98-2.09]","34 391 [33 753-35 160]","19 564 [19 147-20 030]","14 827 [14 458-15 256]"
"Americas"," 1991","2.42 [2.37-2.47]","2.7 [2.64-2.76]","2.12 [2.07-2.18]","35 631 [34 961-36 431]","20 249 [19 803-20 733]","15 382 [14 983-15 819]"
"Americas"," 1990","2.53 [2.48-2.59]","2.82 [2.75-2.89]","2.23 [2.18-2.3]","36 979 [36 277-37 817]","20 935 [20 455-21 448]","16 044 [15 622-16 501]"
"South-East Asia"," 2021","1.92 [1.7-2.12]","2.15 [1.88-2.4]","1.66 [1.44-1.87]","66 846 [59 296-73 958]","38 990 [34 063-43 455]","27 856 [24 102-31 325]"
"South-East Asia"," 2020","2.08 [1.88-2.28]","2.34 [2.08-2.57]","1.81 [1.59-2.01]","73 159 [66 201-80 038]","42 673 [38 041-47 047]","30 486 [26 899-33 906]"
"South-East Asia"," 2019","2.27 [2.1-2.46]","2.55 [2.31-2.78]","1.97 [1.77-2.17]","80 616 [74 386-87 188]","47 021 [42 668-51 315]","33 595 [30 205-36 988]"
