"","","Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years"
"WHO region","Year"," Both sexes"," Both sexes"," Male"," Female"
"Americas"," 2004","1.66 [1.58-1.74]","25 953 [24 797-27 188]","15 506 [14 855-16 196]","10 447 [9 882-11 063]"
"Americas"," 2003","1.67 [1.6-1.74]","26 056 [25 025-27 145]","15 622 [15 027-16 246]","10 434 [9 934-10 979]"
"Americas"," 2002","1.7 [1.63-1.77]","26 411 [25 375-27 514]","15 847 [15 259-16 473]","10 564 [10 063-11 112]"
"Americas"," 2001","1.74 [1.67-1.81]","26 871 [25 834-27 978]","16 131 [15 536-16 755]","10 740 [10 234-11 290]"
"Americas"," 2000","1.77 [1.7-1.84]","27 107 [26 062-28 226]","16 312 [15 719-16 953]","10 795 [10 292-11 356]"
"Americas"," 1999","1.89 [1.82-1.96]","27 444 [26 406-28 581]","16 531 [15 935-17 179]","10 913 [10 404-11 483]"
"Americas"," 1998","1.97 [1.86-2.08]","29 609 [28 073-31 256]","17 645 [16 799-18 566]","11 964 [11 207-12 755]"
"Americas"," 1997","1.9 [1.82-1.98]","28 177 [27 124-29 365]","17 008 [16 385-17 699]","11 169 [10 648-11 761]"
"Americas"," 1996","1.94 [1.87-2.03]","28 564 [27 476-29 800]","17 220 [16 584-17 929]","11 344 [10 812-11 947]"
"Americas"," 1995","1.99 [1.91-2.08]","28 958 [27 830-30 241]","17 483 [16 821-18 214]","11 475 [10 926-12 091]"
"Americas"," 1994","2.04 [1.96-2.13]","29 359 [28 188-30 677]","17 777 [17 105-18 530]","11 582 [11 016-12 221]"
"Americas"," 1993","2.1 [2.01-2.19]","29 783 [28 585-31 147]","18 078 [17 387-18 853]","11 705 [11 120-12 360]"
"Americas"," 1992","2.16 [2.07-2.26]","30 224 [28 996-31 621]","18 376 [17 653-19 179]","11 848 [11 251-12 521]"
"Americas"," 1991","2.23 [2.13-2.33]","30 736 [29 472-32 191]","18 680 [17 942-19 512]","12 056 [11 442-12 762]"
"Americas"," 1990","2.3 [2.2-2.41]","31 327 [29 992-32 858]","18 912 [18 127-19 782]","12 415 [11 775-13 151]"
"South-East Asia"," 2021","","81 507 [66 791-100 037]","49 105 [39 839-60 839]","32 402 [26 226-40 051]"
"South-East Asia"," 2020","2.63 [1.99-3.52]","85 586 [71 763-102 857]","51 347 [42 712-62 358]","34 239 [28 443-41 437]"
"South-East Asia"," 2019","2.7 [2.1-3.45]","90 104 [77 386-105 987]","53 825 [45 768-63 945]","36 279 [30 760-43 014]"
"South-East Asia"," 2018","2.77 [2.21-3.42]","94 763 [82 723-109 392]","56 385 [48 849-65 795]","38 378 [33 072-44 706]"
"South-East Asia"," 2017","2.85 [2.34-3.43]","99 558 [87 937-113 381]","58 998 [51 604-67 991]","40 560 [35 268-46 621]"
"South-East Asia"," 2016","2.94 [2.47-3.48]","104 460 [93 068-117 840]","61 583 [54 328-70 127]","42 877 [37 614-48 829]"
"South-East Asia"," 2015","3.07 [2.64-3.57]","110 342 [98 603-123 491]","64 556 [57 092-72 944]","45 786 [40 376-51 684]"
"South-East Asia"," 2014","3.17 [2.76-3.62]","114 446 [102 190-127 363]","66 632 [58 849-74 830]","47 814 [42 222-53 769]"
"South-East Asia"," 2013","3.3 [2.91-3.72]","119 445 [106 454-132 675]","68 975 [61 002-77 220]","50 470 [44 482-56 693]"
"South-East Asia"," 2012","3.45 [3.07-3.84]","124 607 [110 659-138 265]","71 363 [63 012-79 872]","53 244 [46 790-59 812]"
"South-East Asia"," 2011","3.59 [3.22-3.99]","129 738 [114 914-144 255]","73 783 [65 019-82 587]","55 955 [49 156-62 976]"
"South-East Asia"," 2010","3.75 [3.37-4.16]","134 879 [119 561-150 481]","75 884 [66 988-85 176]","58 995 [51 808-66 495]"
"South-East Asia"," 2009","3.92 [3.54-4.35]","140 632 [124 856-157 528]","78 359 [69 208-88 258]","62 273 [54 702-70 240]"
"South-East Asia"," 2008","4.37 [3.82-5.11]","155 865 [135 275-182 961]","85 237 [73 574-99 830]","70 628 [60 513-83 244]"
"South-East Asia"," 2007","4.22 [3.79-4.71]","149 864 [133 283-168 379]","82 126 [72 712-92 717]","67 738 [59 687-76 869]"
"South-East Asia"," 2006","4.36 [3.9-4.88]","153 923 [136 773-173 708]","83 728 [74 116-94 964]","70 195 [61 888-79 875]"
"South-East Asia"," 2005","4.48 [4.0-5.04]","157 387 [139 799-178 190]","85 302 [75 347-97 055]","72 085 [63 489-82 262]"
"South-East Asia"," 2004","5.02 [4.46-5.69]","174 733 [154 950-198 089]","93 349 [82 259-106 369]","81 384 [71 778-92 971]"
"South-East Asia"," 2003","4.71 [4.2-5.4]","163 590 [144 530-186 814]","88 014 [77 545-100 961]","75 576 [66 173-87 053]"
"South-East Asia"," 2002","4.84 [4.3-5.58]","166 774 [147 355-191 575]","89 491 [78 864-103 303]","77 283 [67 700-89 595]"
