"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Americas"," 2007","19.02 [18.64-19.45]","20.87 [20.42-21.4]","17.06 [16.67-17.5]","295 683 [289 894-302 341]","165 927 [162 304-170 067]","129 756 [126 696-133 058]"
"Americas"," 2006","19.86 [19.44-20.32]","21.79 [21.29-22.35]","17.82 [17.39-18.3]","308 746 [302 309-315 935]","173 249 [169 198-177 644]","135 497 [132 170-139 103]"
"Americas"," 2005","20.79 [20.33-21.29]","22.82 [22.27-23.44]","18.65 [18.18-19.17]","322 747 [315 584-330 511]","181 132 [176 732-185 926]","141 615 [137 976-145 490]"
"Americas"," 2004","21.74 [21.24-22.28]","23.86 [23.27-24.52]","19.52 [19.01-20.07]","337 736 [330 020-346 141]","189 465 [184 763-194 633]","148 271 [144 373-152 403]"
"Americas"," 2003","22.75 [22.22-23.32]","24.95 [24.32-25.66]","20.42 [19.88-21.01]","354 980 [346 660-363 933]","199 086 [193 932-204 587]","155 894 [151 649-160 327]"
"Americas"," 2002","23.89 [23.33-24.51]","26.19 [25.5-26.93]","21.47 [20.89-22.09]","374 710 [365 839-384 410]","209 991 [204 417-215 834]","164 719 [160 201-169 437]"
"Americas"," 2001","25.08 [24.48-25.73]","27.48 [26.75-28.27]","22.54 [21.92-23.21]","395 930 [386 436-406 178]","221 765 [215 795-228 023]","174 165 [169 284-179 214]"
"Americas"," 2000","26.33 [25.69-27.01]","28.83 [28.06-29.67]","23.7 [23.04-24.4]","417 822 [407 691-428 674]","233 889 [227 615-240 583]","183 933 [178 739-189 299]"
"Americas"," 1999","27.75 [27.07-28.48]","30.36 [29.54-31.25]","25 [24.31-25.76]","440 500 [429 796-452 084]","246 385 [239 727-253 530]","194 115 [188 710-199 990]"
"Americas"," 1998","29.63 [28.92-30.42]","32.35 [31.48-33.3]","26.77 [26.03-27.57]","470 659 [459 384-483 094]","262 664 [255 567-270 266]","207 995 [202 164-214 164]"
