"","","Neonatal mortality rate (0 to 27 days) per 1000 live births) (SDG 3.2.2)","Number of neonatal deaths (0 to 27 days)"
"WHO region","Year"," Both sexes"," Both sexes"
"South-East Asia"," 2000","40.64 [38.77-42.55]","1 644 538 [1 569 052-1 721 897]"
"South-East Asia"," 1999","41.94 [40.04-43.93]","1 688 054 [1 611 660-1 768 433]"
"South-East Asia"," 1998","43.18 [41.23-45.24]","1 744 706 [1 666 137-1 827 957]"
"South-East Asia"," 1997","44.4 [42.42-46.5]","1 797 310 [1 717 201-1 881 958]"
"South-East Asia"," 1996","45.64 [43.62-47.77]","1 843 078 [1 761 425-1 928 969]"
"South-East Asia"," 1995","46.88 [44.78-49.03]","1 892 213 [1 807 860-1 978 940]"
"South-East Asia"," 1994","48.05 [45.88-50.25]","1 936 167 [1 848 542-2 024 644]"
"South-East Asia"," 1993","49.21 [46.99-51.47]","1 973 207 [1 883 867-2 063 531]"
"South-East Asia"," 1992","50.44 [48.16-52.73]","2 022 686 [1 931 454-2 114 767]"
"South-East Asia"," 1991","51.65 [49.34-53.98]","2 069 902 [1 977 329-2 163 301]"
"South-East Asia"," 1990","52.95 [50.61-55.33]","2 109 844 [2 016 579-2 204 691]"
"Europe"," 2021","4.05 [3.27-4.87]","41 657 [33 629-50 094]"
"Europe"," 2020","4.2 [3.45-4.97]","43 816 [36 041-51 818]"
"Europe"," 2019","4.34 [3.64-5.05]","46 136 [38 636-53 673]"
"Europe"," 2018","4.47 [3.79-5.14]","48 850 [41 442-56 117]"
"Europe"," 2017","4.6 [3.95-5.21]","51 348 [44 120-58 245]"
"Europe"," 2016","4.77 [4.12-5.37]","55 149 [47 672-62 098]"
"Europe"," 2015","5.01 [4.36-5.62]","58 189 [50 613-65 300]"
"Europe"," 2014","5.25 [4.59-5.88]","61 021 [53 393-68 300]"
"Europe"," 2013","5.48 [4.82-6.14]","63 049 [55 388-70 549]"
"Europe"," 2012","5.67 [5.01-6.35]","65 593 [57 874-73 379]"
"Europe"," 2011","5.9 [5.21-6.6]","67 605 [59 724-75 680]"
"Europe"," 2010","6.13 [5.42-6.87]","70 548 [62 419-79 123]"
"Europe"," 2009","6.44 [5.7-7.22]","73 795 [65 327-82 797]"
"Europe"," 2008","6.77 [6.02-7.57]","76 938 [68 430-86 030]"
"Europe"," 2007","7.19 [6.45-8.]","79 055 [70 874-87 913]"
"Europe"," 2006","7.57 [6.86-8.37]","81 294 [73 600-89 847]"
"Europe"," 2005","7.96 [7.28-8.74]","83 711 [76 600-91 919]"
"Europe"," 2004","8.33 [7.7-9.07]","87 131 [80 554-94 857]"
"Europe"," 2003","8.76 [8.19-9.43]","90 163 [84 304-97 062]"
"Europe"," 2002","9.29 [8.8-9.87]","94 865 [89 864-100 744]"
"Europe"," 2001","9.85 [9.41-10.36]","100 932 [96 440-106 206]"
"Europe"," 2000","10.26 [9.83-10.76]","105 560 [101 099-110 635]"
"Europe"," 1999","10.8 [10.35-11.31]","111 133 [106 441-116 342]"
"Europe"," 1998","11.34 [10.87-11.86]","118 641 [113 755-124 152]"
"Europe"," 1997","11.83 [11.35-12.38]","125 917 [120 813-131 676]"
"Europe"," 1996","12.33 [11.84-12.9]","133 557 [128 241-139 726]"
"Europe"," 1995","12.8 [12.29-13.4]","140 328 [134 734-146 883]"
"Europe"," 1994","13.1 [12.58-13.72]","147 458 [141 655-154 396]"
"Europe"," 1993","13.32 [12.79-13.95]","153 568 [147 459-160 886]"
"Europe"," 1992","13.47 [12.91-14.13]","161 130 [154 466-169 070]"
"Europe"," 1991","13.68 [13.09-14.38]","169 605 [162 339-178 323]"
"Europe"," 1990","13.84 [13.21-14.59]","176 560 [168 604-186 095]"
"Eastern Mediterranean"," 2021","25.21 [22.05-30.47]","468 899 [410 120-566 759]"
"Eastern Mediterranean"," 2020","25.67 [22.78-30.29]","477 660 [423 936-563 673]"
"Eastern Mediterranean"," 2019","26.17 [23.57-30.23]","485 785 [437 481-560 892]"
"Eastern Mediterranean"," 2018","26.54 [24.2-30.17]","495 189 [451 538-562 941]"
"Eastern Mediterranean"," 2017","27. [24.83-30.29]","504 841 [464 335-566 401]"
"Eastern Mediterranean"," 2016","27.59 [25.56-30.61]","515 355 [477 560-571 761]"
"Eastern Mediterranean"," 2015","28.02 [26.18-30.75]","529 119 [494 279-580 582]"
"Eastern Mediterranean"," 2014","28.68 [26.95-31.17]","541 870 [509 136-588 799]"
"Eastern Mediterranean"," 2013","29.42 [27.79-31.73]","552 859 [522 081-596 126]"
"Eastern Mediterranean"," 2012","30.19 [28.62-32.35]","558 865 [529 901-598 987]"
"Eastern Mediterranean"," 2011","30.9 [29.38-32.96]","561 551 [533 814-598 844]"
"Eastern Mediterranean"," 2010","31.66 [30.18-33.61]","563 858 [537 629-598 553]"
"Eastern Mediterranean"," 2009","32.39 [30.98-34.25]","562 198 [537 653-594 412]"
"Eastern Mediterranean"," 2008","33.07 [31.66-34.87]","561 655 [537 805-592 294]"
"Eastern Mediterranean"," 2007","33.9 [32.53-35.65]","566 097 [543 240-595 328]"
"Eastern Mediterranean"," 2006","34.63 [33.27-36.3]","562 330 [540 333-589 478]"
"Eastern Mediterranean"," 2005","35.39 [34.02-37.04]","563 803 [542 116-590 169]"
"Eastern Mediterranean"," 2004","36.15 [34.77-37.78]","570 131 [548 261-595 674]"
